FILE_NAME,BLOBS_AREA_MEAN,BLOBS_AREA_STDEV,BLOBS_AREA_SUM,BLOBS_AREA_VARIANCE,BLOBS_BRIGHTNESS_MAX,BLOBS_BRIGHTNESS_MEAN,BLOBS_BRIGHTNESS_MIN,BLOBS_BRIGHTNESS_STDEV,BLOBS_COUNT,MAXBLOB_ANGLE,MAXBLOB_AREA,MAXBLOB_CIRCULARITY,MAXBLOB_CONVEXHULL_AREA,MAXBLOB_CONVEXHULL_PERIMETER,MAXBLOB_EQUIVALENT_DIAMETER,MAXBLOB_LENGTH_1ST,MAXBLOB_LENGTH_2ND,MAXBLOB_LENGTH_RATIO,MAXBLOB_PERIMETER,MAXBLOB_ROUGHNESS,MAXBLOB_SOLIDITY
18850_T5A46BQ0CLB_TCAOH410_769_-538.171_699.57_O_L_20161201_132600.jpg,86.1667,64.0325,517,4100.17,204,69.1326,44,19.7545,6,0,185.5,0.823218,187.5,52.605,15.3683,20,11,1.81818,53.2132,1.01156,0.989333
18850_T5A46BQ0CQB_TCAOH410_1050_526.074_76.9825_O_L_20161201_131653.jpg,352.25,303.702,704.5,92235.1,79,61.795,45,9.64844,2,0,567,0.87137,581.5,86.9547,26.8687,27,27,1,90.4264,1.03993,0.975064
18850_T5A46BQ0CSB_TCAOH410_1002_-715.124_-73.603_O_L_20161201_131211.jpg,214.143,206.173,1499,42507.1,183,87.9,50,22.4897,7,-18.4349,526.5,0.720293,546.5,91.436,25.8913,37.3149,18.3412,2.03448,95.8406,1.04817,0.963403
18850_T5A46BQ0CSB_TCAOH410_252_-699.276_-100.702_O_L_20161201_131208.jpg,361,376.888,722,142045,217,91.4437,54,35.9836,2,-45,627.5,0.591124,729.5,98.8007,28.2658,31.8198,29.6985,1.07143,115.497,1.16899,0.860178
18850_T5A46BQ0E3B_TCAOH820_47_-312.324_102.735_O_M_20161202_171934.jpg,348.333,128.485,1045,16508.3,202,99.3156,41,41.6979,3,-63.435,485,0.800521,499.5,83.2874,24.85,31.3049,20.5718,1.52174,87.2548,1.04764,0.970971
18850_T5A46BQ0E3B_TCAOH820_51_-500.467_-248.594_O_M_20161202_171934.jpg,1738,0,1738,0,62,46.9729,29,8.71123,1,-40.9144,1738,0.344954,2164,176.562,47.0414,62.6214,41.9156,1.49399,251.622,1.42512,0.803142
18850_T5A46BQ0ESB_TCAOH820_45_609.805_291.106_O_M_20161202_174337.jpg,400,415.603,1600,172726,181,73.9532,31,38.1981,4,-3.94519,949,0.426604,1167.5,141.939,34.7607,60.5458,25.1472,2.40766,167.196,1.17794,0.812848
18850_T5A46BQ0EUB_TCAOH820_59_175.607_-787.706_O_M_20161202_175222.jpg,641.25,489.671,1282.5,239778,166,72.1301,34,34.5233,2,-4.08562,987.5,0.331148,1409.5,143.578,35.4588,52.2953,35.5523,1.47094,193.581,1.34826,0.700603
18850_T5A46BQ0EUB_TCAOH820_85_-220.585_875.122_O_M_20161202_175222.jpg,86.3333,32.9754,777,1087.38,194,110.265,44,47.2657,9,-63.435,137.5,0.77515,145.5,45.0817,13.2314,16.0997,10.7331,1.5,47.2132,1.04728,0.945017
18850_T5A46BQ0EUB_TCAOH820_92_565.489_-74.034_O_M_20161202_175222.jpg,159.571,119.346,1117,14243.4,196,91.9422,40,46.635,7,-45,389.5,0.518553,495,82.7246,22.2694,26.1629,23.3345,1.12121,97.1543,1.17443,0.786869
